route,countries,km_analysed,usable_4g5g_pct,any_signal_pct,dead_zones,dead_zone_km,mountain_estimate,data_source,methodology_version,url
Overland Track (Cradle Mountain–Lake St Clair),Australia,57,0.0,0.0,1,57,no,ACMA licence register,acma-rrl-sites-v1,https://trailsim.com/routes/overland-track
Pacific Crest Trail — Washington (Bridge of the Gods–Manning Park),United States,815,10.4,23.9,31,584,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/pct-washington
John Muir Trail (JMT / Nüümü Poyo),United States,336,11.3,17.7,9,270,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/john-muir-trail
Pacific Crest Trail — Sierra Nevada (Kennedy Meadows–Donner Pass),United States,715,15.9,25.4,20,514,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/pct-sierra-nevada
South Africa Garden Route (Garden Route Road Trip),South Africa,209,18.9,100.0,0,0,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/garden-route
GR20 (Grande Randonnée 20 / Fra li Monti),France,184,23.7,63.2,1,67,yes,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/gr20
Lycian Way (Likya Yolu),Türkiye,411,24.2,84.2,4,64,yes,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/lycian-way
Continental Divide Trail (CDT),United States,4824,29.1,42.1,201,2465,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/continental-divide-trail
Pacific Crest Trail — Northern California (Donner Pass–Oregon Border),United States,855,31.2,42.3,61,404,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/pct-northern-california
Wild Atlantic Way (WAW),Ireland,1402,33.1,33.9,16,925,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/wild-atlantic-way
Pacific Crest Trail (PCT),United States,4221,34.4,45.4,166,2006,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/pacific-crest-trail
Colorado Trail (Denver–Durango),United States,767,36.0,48.7,36,328,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/colorado-trail
Great Divide Mountain Bike Route (GDMBR),United States,3248,37.1,46.9,112,1585,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/great-divide-mountain-bike-route
Tour du Mont Blanc (TMB),France · Italy · Switzerland,166,42.2,78.0,4,36,yes,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/tour-du-mont-blanc
EuroVelo 6 — Middle & Lower Danube (Vienna–Black Sea),Europe,1460,43.4,57.7,13,618,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/eurovelo-6-lower-danube
Pacific Crest Trail — Oregon (California Border–Bridge of the Gods),United States,723,44.6,60.9,38,224,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/pct-oregon
Bibbulmun Track (Kalamunda–Albany),Australia,960,45.6,45.6,21,517,no,ACMA licence register,acma-rrl-sites-v1,https://trailsim.com/routes/bibbulmun-track
"Arizona Trail (AZT, Mexico–Utah)",United States,1253,49.3,65.1,53,345,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/arizona-trail
